标题,简介,豆瓣评分,链接,创建时间,我的评分,标签,评论,可见性
肖申克的救赎,1994 / 美国 / 剧情 犯罪 / 弗兰克·德拉邦特 / 蒂姆·罗宾斯 摩根·弗里曼,9.7,https://movie.douban.com/subject/1292052/,2020-07-25 17:41:24,5,,,public
续命之徒：绝命毒师电影,2019 / 美国 / 剧情 惊悚 犯罪 / 文斯·吉里根 / 亚伦·保尔 乔纳森·班克斯,8.1,https://movie.douban.com/subject/30372377/,2020-07-25 17:24:58,5,,,public
饥饿站台,2019 / 西班牙 / 科幻 惊悚 / 加尔德·加兹特鲁·乌鲁蒂亚 / 伊万·马萨格 佐伦·伊格,7.9,https://movie.douban.com/subject/34805219/,2022-03-15 22:29:24,5,,,public
少年的你,2019 / 中国大陆 中国香港 / 剧情 爱情 犯罪 / 曾国祥 / 周冬雨 易烊千玺,8.2,https://movie.douban.com/subject/30166972/,2020-07-25 17:20:33,4,,,public
82年生的金智英,2019 / 韩国 / 剧情 / 金度英 / 郑裕美 孔刘,8.6,https://movie.douban.com/subject/30327842/,2020-07-25 17:20:00,5,,,public
小丑,2019 / 美国 加拿大 / 剧情 惊悚 犯罪 / 托德·菲利普斯 / 华金·菲尼克斯 罗伯特·德尼罗,8.7,https://movie.douban.com/subject/27119724/,2020-07-25 17:19:06,5,"暴力,人性,犯罪,美国,漫画改编",,public
活着,1994 / 中国大陆 中国香港 / 剧情 家庭 历史 / 张艺谋 / 葛优 巩俐,9.3,https://movie.douban.com/subject/1292365/,2020-07-25 17:59:29,5,,,public
熔炉,2011 / 韩国 / 剧情 / 黄东赫 / 孔刘 郑裕美,9.3,https://movie.douban.com/subject/5912992/,2020-07-25 17:54:14,5,,,public
猩球崛起3：终极之战,2017 / 美国 / 剧情 动作 科幻 / 马特·里夫斯 / 安迪·瑟金斯 伍迪·哈里森,6.9,https://movie.douban.com/subject/25808075/,2020-01-14 19:27:07,,,,public
湮灭,2018 / 美国 英国 / 剧情 科幻 惊悚 / 亚历克斯·加兰 / 娜塔莉·波特曼 詹妮弗·杰森·李,7.2,https://movie.douban.com/subject/26384741/,2020-01-14 19:26:20,,,,public
摄影机不要停！,2017 / 日本 / 喜剧 恐怖 / 上田慎一郎 / 滨津隆之 真鱼,8.2,https://movie.douban.com/subject/30234315/,2022-10-06 14:43:47,5,,,public
加勒比海盗5：死无对证,2017 / 美国 / 动作 奇幻 冒险 / 艾斯彭·山德伯格 乔阿吉姆·罗恩尼 / 约翰尼·德普 布伦顿·思韦茨,7.2,https://movie.douban.com/subject/6311303/,2020-01-14 19:21:49,,,,public
从你的全世界路过,2016 / 中国大陆 / 喜剧 爱情 / 张一白 / 邓超 白百何,5.3,https://movie.douban.com/subject/26280528/,2020-01-14 19:20:34,,,,public
江湖儿女,2018 / 中国大陆 法国 日本 / 爱情 犯罪 / 贾樟柯 / 赵涛 廖凡,7.6,https://movie.douban.com/subject/26972258/,2022-07-16 22:17:06,5,,,public
地久天长,2019 / 中国大陆 / 剧情 家庭 / 王小帅 / 王景春 咏梅,8.0,https://movie.douban.com/subject/26715636/,2020-01-14 19:18:23,,,,public
雷神3：诸神黄昏,2017 / 美国 / 动作 奇幻 冒险 / 塔伊加·维迪提 / 克里斯·海姆斯沃斯 汤姆·希德勒斯顿,7.4,https://movie.douban.com/subject/25821634/,2020-01-14 19:18:02,,,,public
奇异博士,2016 / 美国 / 动作 奇幻 冒险 / 斯科特·德瑞克森 / 本尼迪克特·康伯巴奇 蒂尔达·斯文顿,7.6,https://movie.douban.com/subject/3025375/,2020-01-14 19:17:54,,,,public
美国队长3,2016 / 美国 / 动作 科幻 / 安东尼·罗素 乔·罗素 / 克里斯·埃文斯 小罗伯特·唐尼,7.9,https://movie.douban.com/subject/25820460/,2020-01-14 19:17:53,,,,public
复仇者联盟2：奥创纪元,2015 / 美国 / 动作 科幻 奇幻 冒险 / 乔斯·韦登 / 小罗伯特·唐尼 克里斯·埃文斯,7.5,https://movie.douban.com/subject/10741834/,2020-01-14 19:17:47,,,,public
美国队长2,2014 / 美国 / 动作 科幻 惊悚 冒险 / 安东尼·罗素 乔·罗素 / 克里斯·埃文斯 斯嘉丽·约翰逊,8.1,https://movie.douban.com/subject/6390823/,2020-01-14 19:17:42,,,,public
雷神2：黑暗世界,2013 / 美国 / 动作 奇幻 冒险 / 阿兰·泰勒 / 克里斯·海姆斯沃斯 娜塔莉·波特曼,7.4,https://movie.douban.com/subject/6560058/,2020-01-14 19:17:38,,,,public
钢铁侠3,2013 / 美国 中国大陆 / 动作 科幻 / 沙恩·布莱克 / 小罗伯特·唐尼 格温妮斯·帕特洛,7.9,https://movie.douban.com/subject/3231742/,2020-01-14 19:17:36,,,,public
复仇者联盟,2012 / 美国 / 动作 科幻 奇幻 冒险 / 乔斯·韦登 / 小罗伯特·唐尼 克里斯·埃文斯,8.3,https://movie.douban.com/subject/1866479/,2020-01-14 19:17:33,,,,public
美国队长,2011 / 美国 / 动作 科幻 冒险 / 乔·庄斯顿 / 克里斯·埃文斯 海莉·阿特维尔,7.2,https://movie.douban.com/subject/2138838/,2020-01-14 19:17:30,,,,public
雷神,2011 / 美国 / 动作 奇幻 冒险 / 肯尼思·布拉纳 / 克里斯·海姆斯沃斯 娜塔莉·波特曼,7.2,https://movie.douban.com/subject/1866471/,2020-01-14 19:17:28,,,,public
钢铁侠2,2010 / 美国 / 动作 科幻 冒险 / 乔恩·费儒 / 小罗伯特·唐尼 格温妮斯·帕特洛,7.7,https://movie.douban.com/subject/3066739/,2020-01-14 19:17:24,,,,public
无敌浩克,2008 / 美国 / 动作 科幻 惊悚 / 路易斯·莱特里尔 / 爱德华·诺顿 丽芙·泰勒,7.1,https://movie.douban.com/subject/1866475/,2020-01-14 19:17:20,,,,public
钢铁侠,2008 / 美国 / 动作 科幻 惊悚 冒险 / 乔恩·费儒 / 小罗伯特·唐尼 格温妮斯·帕特洛,8.4,https://movie.douban.com/subject/1432146/,2020-01-14 19:17:18,,,,public
复仇者联盟3：无限战争,2018 / 美国 / 动作 科幻 奇幻 冒险 / 安东尼·罗素 乔·罗素 / 小罗伯特·唐尼 克里斯·埃文斯,8.1,https://movie.douban.com/subject/24773958/,2020-01-14 19:17:07,,,,public
